,subject,title,description,weeks,hours,institute,level,prerequisites,outcomes,Languages,url
0,Art & Culture,Italian Language and Culture: Beginner (2021-2022),"Learn the basics of the Italian language and culture through videos, podcasts, interviews, and much more.",12,2–5 ,WellesleyX,Introductory,None,"
<li>How to communicate in a variety of social situations, such as introducing yourself, talking about daily activities, describing what you do for work, writing and reading simple texts, such as an e-mail, giving and getting directions, asking about the weather and telling time.</li>
<li>Basic grammatical structures such as articles and nouns, adjectives, present and past tenses of regular and irregular verbs.</li>
<li>Italian culture, including daily life, film, cuisine, universities and vacationing.</li>
",Italiano,https://www.edx.org/course/italian-language-and-culture-beginner-2021-2022?index=product&queryID=5a6eb20a72d798c380968072a42de3d4&position=1
1,Art & Culture,Steps in Japanese for Beginners1 Part1,Learn basic Japanese expressions to survive in Japanese.,5,3–5 ,WasedaX,Introductory,None,"・To say greetings<br>
・To introduce yourself<br>
・To ask about food<br>
・To order",English,https://www.edx.org/course/steps-in-japanese-for-beginners1-part1-2?index=product&queryID=5a6eb20a72d798c380968072a42de3d4&position=2
2,Art & Culture,Mandarin Chinese Level 1,"Mandarin Chinese is rapidly becoming one of the top languages to learn, especially for business. Learnbasic language skills for business scenarios in Mandarin-speaking countries.",6,4–10 ,MandarinX,Introductory,None,"
<li>Basic spoken Mandarin phrases and vocabulary for everyday life</li>
<li>The importance of proper ""tones"" in Mandarin</li>
<li>Essential and most practical communication skills</li>
<li>Develop your Chinese language skills in a business environment</li>
<li>Build your confidence to communicate effectively with colleagues, clients and friends in Chinese</li>
",English,https://www.edx.org/course/mandarin-chinese-level-1?index=product&queryID=5a6eb20a72d798c380968072a42de3d4&position=3
3,Art & Culture,Modern Masterpieces of World Literature,Examine how great modern writers capture the intricacies of our globalized world and how their works circulate within that world to find their own audiences.,8,3–6 ,HarvardX,Introductory,None,"
<li>The recent history of World Literature</li>
<li>How literary works are transformed by cultural transmission</li>
<li>How to critically analyze literary works</li>
<li>Historical and political context in China, Argentina, Turkey, and more</li>
",English,https://www.edx.org/course/modern-masterpieces-of-world-literature?index=product&queryID=5a6eb20a72d798c380968072a42de3d4&position=4
4,Art & Culture,Pyramids of Giza: Ancient Egyptian Art and Archaeology,"Explore the archaeology, history, art, and hieroglyphs surrounding the famous Egyptian Pyramids at Giza. Learn about Old Kingdom pharaohs and elites, tombs, temples, the Sphinx, and how new technology is unlocking their secrets.",8,2–4 ,HarvardX,Introductory,None. This is an introductory course.,"
<li>The history and significance of the Giza Pyramids and surrounding cemeteries</li>
<li>Who explored the Pyramids and how they documented their discoveries</li>
<li>The cultural and religious significance of the Giza Pyramids, tombs, and temples</li>
<li>The role of hieroglyphic inscriptions in the tombs at Giza</li>
<li>An appreciation for Egyptian art of the Old Kingdom, or Pyramid Age</li>
<li>How digital technologies allow us to visualize ancient monuments in new ways</li>
<li>What the future holds for our understanding and experience of Giza</li>
",English,https://www.edx.org/course/pyramids-of-giza-ancient-egyptian-art-and-archaeol?index=product&queryID=5a6eb20a72d798c380968072a42de3d4&position=5
5,Art & Culture,Basic Spanish 2: One Step Further,"Beginners course for learners of Spanish that focuses not only on language, but also on cultural aspects, specifically designed for English speakers.",4,4–5 ,UPValenciaX,Introductory,Basic Spanish knowledge or 30 hours of practice,Basic vocabulary to be able to use and understand information related to:,English,https://www.edx.org/course/basic-spanish-2-one-step-further?index=product&queryID=5a6eb20a72d798c380968072a42de3d4&position=6
6,Art & Culture,Comunicación audiovisual desde tu smartphone,"Los participantes inscritos en la ruta auditada que cumplan con el 80% de participación del programa recibirán un certificado gratuito emitido por la Universidad Javeriana en alianza con Google. Si deseas recibir este certificado inscríbete y diligencia el formulario activo en el curso. D e igual forma podrás gestionar el certificado pago con Edx por el valor de referencia publicado en este sitio.
Todo el contenido del programa académico es un esfuerzo entre Google y la Pontificia Universidad javeriana.
Este curso busca dar a conocer los conceptos y tareas fundamentales para crear, gestionar y difundir contenidos creativos a través de un smartphone como herramienta principal de producción.",4,2–3 ,JaverianaX,Introductory,Ninguno,- Las obras creativas y su valor,Español,https://www.edx.org/course/comunicacion-audiovisual-desde-tu-smartphone?index=product&queryID=5a6eb20a72d798c380968072a42de3d4&position=7
7,Art & Culture,"Tangible Things: Discovering History Through Artworks, Artifacts, Scientific Specimens, and the Stuff Around You","Gain an understanding of history, museum studies, and curation by looking at, organizing, and interpreting art, artifacts, scientific curiosities, and the stuff of everyday life.",10,1–3 ,HarvardX,Introductory,None,"
<li>Understanding of museum curation approaches</li>
<li>The basics of historical analysis and interpretation</li>
<li>A sense of the work that historians, curators, and collectors perform</li>
<li>Strong critical thinking and analytical skills</li>
<li>How things that seem to belong to different disciplines actually can “talk” to one another</li>
<li>How close looking at even a single object can push beyond academic and disciplinary boundaries</li>
<li>How things that may seem unrelated to each other can show relationships between art and science, economics, and culture, as well as between people in many different parts of the world</li>
",English,https://www.edx.org/course/tangible-things-discovering-history-through-artwor?index=product&queryID=5a6eb20a72d798c380968072a42de3d4&position=8
8,Art & Culture,European Paintings: From Leonardo to Rembrandt to Goya,Uncover the meaning behind the art of the great painters from 1400 to 1800.,7,2–3 ,UC3Mx,Introductory,None.,"
<li>Learn to identify paintings by the artists covered in the course, and recognize characteristics of art of this time period.</li>
<li>Learn about the variety of ways in which a work of art can be interpreted.</li>
<li>Acquire the tools to develop a critical spirit and a personal point of view with regards to the history of art.</li>
<li>Become familiar with the language and concepts necessary to understand the history of art and to continue studying it in the future.</li>
<li>Learn to use a knowledge of art history to make sense of life and your experience in the world.</li>
",English,https://www.edx.org/course/european-paintings-from-leonardo-to-rembrandt-to-g?index=product&queryID=5a6eb20a72d798c380968072a42de3d4&position=9
9,Art & Culture,Italian Language and Culture: Intermediate (2021-2022),"Improve your Italian language skills and expand your vocabulary while you learn about Italian art, literature and contemporary society.",12,3–5 ,WellesleyX,Intermediate,"Secondary school Italian (high school): 1-2 years Italian
College, University: 1-2 semesters Italian","
<li>Expand your conversational skills to have more in depth exchanges in a variety of situations about your everyday life, your current and future plans, your hobbies and interests.</li>
<li>Enhance Italian reading and writing skills. </li>
<li>Important grammatical structures such as reflexive verbs, the past absolute (“passato remoto”), relative pronouns, direct and indirect object pronouns, simple future, present and past conditional.</li>
<li>Italian culture, including fashion, art, poetry, healthcare, and how to shop for food and clothes in Italy.</li>
",Italiano,https://www.edx.org/course/italian-language-and-culture-intermediate-2021-2022?index=product&queryID=5a6eb20a72d798c380968072a42de3d4&position=10
10,Art & Culture,Basic Spanish 3: Getting there,"Beginners course for learners of Spanish that focuses not only on language but also on cultural aspects, specifically designed for English speakers.",4,3–4 ,UPValenciaX,Introductory,Basic Spanish knowledge or 60 hours of practice.,Basic vocabulary to be able to use and understand information related to:,English,https://www.edx.org/course/basic-spanish-3-getting-there?index=product&queryID=5a6eb20a72d798c380968072a42de3d4&position=11
11,Art & Culture,Mandarin Chinese Essentials,"This course is your first crucial step to learning Mandarin Chinese. Learn essential skills for communicating in Chineseincluding tones, pinyin, grammar, characters, and basic structures all within the context of a business environment.",5,4–10 ,MandarinX,Introductory,None,"
<li>Five essential characteristics of Mandarin Chinese: tones, pinyin, grammar, characters, and basic structures</li>
<li>Greater insight into Chinese culture</li>
<li>Essential and practical communication skills</li>
<li>A solid start toward masteringMandarin for business</li>
<li>Build your confidence to communicate effectively with colleagues, clients, and friends in Chinese</li>
",English,https://www.edx.org/course/mandarin-chinese-essentials?index=product&queryID=5a6eb20a72d798c380968072a42de3d4&position=12
12,Art & Culture,Writing successfully for the Stage,"Learn to structure your dramatic writing to a professional standard, as well as develop professionally transferable communication skills. This course will broaden your understanding of how to write engaging and interesting stories in order to attract producers and directors to your work. You will understand how to write effective dialogue, and how to edit your work.",4,8–10 ,UniversityofCambridge,Intermediate,"There are no prerequisites but it is recommended that this course is taken after studying Finding your voice as a playwright: scenes, themes and character.","
<li><span lang=""EN-US"">Specialised knowledge of histories, forms, and traditions of writing for performance as well as the cultural contexts of innovative practitioners and practices within performance; of contemporary critical, analytical, and narrative theories of performance;</span></li>
<li><span lang=""EN-US"">advanced awareness of the relevant market and distribution demands of entertainment industries;</span></li>
<li><span lang=""EN-US"">enhanced understanding of the applications of performance in educational, community, and social contexts;</span></li>
<li>dramaturgical and script-editing skills within playwriting;</li>
<li>developed advanced self-management skills to include working in planned and improvisatory ways, as well as the ability to anticipate and accommodate change, ambiguity, creative risk-taking, uncertainty and unfamiliarity;</li>
",English,https://www.edx.org/course/writing-successfully-for-the-stage?index=product&queryID=5a6eb20a72d798c380968072a42de3d4&position=13
13,Art & Culture,Ancient Masterpieces of World Literature,"Examine how cultures of the ancient world defined themselves through literature and how their vision of literature contributes to our understanding of civilization, culture, and literature today.",6,3–6 ,HarvardX,Introductory,None,"
<li>The early history of World Literature</li>
<li>How literary works are transformed by cultural transmission and modern recovery</li>
<li>How to critically analyze literary works</li>
<li>The significance of major technological advances in writing</li>
",English,https://www.edx.org/course/ancient-masterpieces-of-world-literature?index=product&queryID=5a6eb20a72d798c380968072a42de3d4&position=14
